2022-01-13 13:43:26 DEBUG win32chesslib.c:52: g_init_chess_lib
2022-01-13 13:52:12 DEBUG win32chesslib.c:52: g_init_chess_lib
2022-01-13 13:52:48 DEBUG win32chesslib.c:52: g_init_chess_lib
2022-01-13 13:53:08 DEBUG win32chesslib.c:52: g_init_chess_lib
2022-01-13 14:08:26 DEBUG win32chesslib.c:52: g_init_chess_lib
2022-01-13 14:10:07 DEBUG win32chesslib.c:52: g_init_chess_lib
2022-01-13 14:10:14 DEBUG win32chesslib.c:275: g_get_moves_list | color = 0
2022-01-13 14:10:16 DEBUG win32chesslib.c:203: g_move_to | color = 0
2022-01-13 14:10:16 DEBUG win32chesslib.c:204: g_move_to | en_passant = 0
2022-01-13 14:10:16 DEBUG win32chesslib.c:205: g_move_to | is_castling = 0
2022-01-13 14:10:16 DEBUG win32chesslib.c:206: g_move_to | global castling = 0-0
2022-01-13 14:10:30 DEBUG win32chesslib.c:62: g_close_chess_lib
2022-01-21 09:21:45 DEBUG win32chesslib.c:52: g_init_chess_lib
2022-01-21 09:21:55 DEBUG win32chesslib.c:275: g_get_moves_list | color = 0
2022-01-21 09:21:57 DEBUG win32chesslib.c:203: g_move_to | color = 0
2022-01-21 09:21:57 DEBUG win32chesslib.c:204: g_move_to | en_passant = 0
2022-01-21 09:21:57 DEBUG win32chesslib.c:205: g_move_to | is_castling = 0
2022-01-21 09:21:57 DEBUG win32chesslib.c:206: g_move_to | global castling = 0-0
2022-01-21 09:21:57 DEBUG win32chesslib.c:155: g_alpha_beta | 1 3 
2022-01-21 09:21:59 DEBUG win32chesslib.c:203: g_move_to | color = 1
2022-01-21 09:21:59 DEBUG win32chesslib.c:204: g_move_to | en_passant = 0
2022-01-21 09:21:59 DEBUG win32chesslib.c:205: g_move_to | is_castling = 0
2022-01-21 09:21:59 DEBUG win32chesslib.c:206: g_move_to | global castling = 0-0
2022-01-21 09:22:01 DEBUG win32chesslib.c:62: g_close_chess_lib
2022-01-21 09:26:04 DEBUG win32chesslib.c:78: g_init_chess_lib
2022-01-21 09:26:10 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:26:15 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:26:15 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:26:15 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:26:15 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:26:22 DEBUG win32chesslib.c:88: g_close_chess_lib
2022-01-21 09:26:24 DEBUG win32chesslib.c:78: g_init_chess_lib
2022-01-21 09:26:30 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:26:32 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:26:32 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:26:32 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:26:32 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:26:32 DEBUG win32chesslib.c:181: g_alpha_beta | 1 3 
2022-01-21 09:26:33 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:26:33 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:26:33 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:26:33 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:26:34 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:26:36 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:26:36 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:26:36 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:26:36 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:26:36 DEBUG win32chesslib.c:181: g_alpha_beta | 1 3 
2022-01-21 09:26:37 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:26:37 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:26:37 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:26:37 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:26:38 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:26:40 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:26:40 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:26:40 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:26:40 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:26:40 DEBUG win32chesslib.c:181: g_alpha_beta | 1 3 
2022-01-21 09:26:41 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:26:41 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:26:41 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:26:41 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:26:42 DEBUG win32chesslib.c:88: g_close_chess_lib
2022-01-21 09:28:19 DEBUG win32chesslib.c:78: g_init_chess_lib
2022-01-21 09:28:24 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:28:26 DEBUG win32chesslib.c:88: g_close_chess_lib
2022-01-21 09:30:43 DEBUG win32chesslib.c:78: g_init_chess_lib
2022-01-21 09:30:50 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:30:52 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:30:52 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:30:52 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:30:52 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:30:52 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:30:54 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:30:54 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:30:54 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:30:54 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:30:55 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:30:57 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:30:57 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:30:57 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:30:57 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:30:57 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:30:59 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:30:59 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:30:59 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:30:59 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:31:00 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
